Terminal,Station,Latitude,Longitude,Docks
7000,Ft. York / Capreol Crt.,43.639832,-79.395954,31
7001,Lower Jarvis St / The Esplanade,43.647992,-79.370907,15
7002,St George St / Bloor St W,43.667333,-79.399429,15
7003,Madison Ave / Bloor St W,43.667158,-79.402761,15
7004,University Ave / Elm St,43.656518,-79.389099,11
7005,University Ave / King St W,43.648093,-79.384749,19
7006,Bay St / College St,43.660422,-79.385441,11
7007,College St / Huron St,43.658148,-79.398167,11
7008,Wellesley/Queen's Park,43.663376,-79.392125,19
7009,King St E / Jarvis St,43.650325,-79.372287,11
7010,King St W / Spadina Ave,43.645323,-79.395003,19
7011,Wellington St / Portland St,43.642982,-79.399256,11
7012,Elizabeth St / Edward St,43.656152,-79.385225,15
7013,Scott St / The Esplanade,43.64656,-79.375274,19
7014,Sherbourne / Carlton (Allan Gardens),43.663102,-79.373181,17
7015,King St W / Bay St,43.64852,-79.380576,23
7016,Ferry Ramp / Queens Quay W,43.640823,-79.376265,23
7017,Widmer St / Adelaide St ,43.647145,-79.391479,19
7018,Bremner Blvd / Rees St,43.641529,-79.386741,15
7019,Temperance St / Yonge St,43.650855,-79.379492,15
7020,Phoebe St / Spadina Ave,43.650033,-79.396555,32
7021,Bay St / Albert St,43.653264,-79.382458,23
7022,Simcoe St / Queen St W,43.650858,-79.387582,19
7023,College St / Borden St,43.6571,-79.4056,11
7024,Church St/ Monteith St (Barbara Hall Park),43.666814,-79.381385,11
7025,Ted Rogers Way ,43.671293,-79.380471,27
7026,Bay St / St. Joseph St,43.665527,-79.387499,11
7027,Beverly  St / Dundas St W,43.652823,-79.393388,23
7028,Gould St / Mutual St,43.6582,-79.3768,31
7029,Bay St / Bloor St W,43.669429,-79.389326,15
7030,Bay St / Wellesley St W,43.664088,-79.387095,35
7031,Jarvis St / Isabella St,43.669192,-79.379128,23
7032,Augusta Ave / Dundas St W,43.652175,-79.400913,15
7033,Union Station ,43.645566,-79.379438,19
7034,Church St / Bloor St E,43.671389,-79.382919,15
7035,Queen St / Ossington Ave,43.643975,-79.419576,23
7036,Trinity St/ Front St E,43.651318,-79.36023,11
7037,Bathurst St / Dundas St,43.6523,-79.4058,19
7038,Dundas St / Yonge St,43.656094,-79.381484,15
7039,Simcoe St / Dundas St W,43.653743,-79.38882,27
7040,Euclid Ave / Bloor St,43.6643,-79.415,19
7041,Edward St / Yonge St,43.656729,-79.382736,23
7042,Sherbourne St / Wellesley St,43.6673,-79.374,33
7043,Lower Simcoe St / Lakeshore Blvd W,43.640016,-79.383186,19
7044,Church St / Alexander St,43.6636,-79.3806,15
7045,Bond St / Queen St E,43.653236,-79.376716,11
7046,Niagara St. / Richmond St. W.,43.64534,-79.409597,15
7047,University Ave / Gerrard St W,43.657763,-79.389165,11
7048,Front/Yonge (Hockey Hall of Fame),43.646144,-79.377962,39
7049,Queen St / Portland St,43.6476,-79.4015,11
7050,Richmond St E / Jarvis St,43.652634,-79.374222,11
7051,Wellesley St E. / Yonge St,43.664953,-79.384423,16
7052,Wellington St W / Bay St,43.647331,-79.379673,27
7053,Metro Hall Plaza,43.645859,-79.38783,15
7054,Navy Wharf Ct. / Bremner Blvd.,43.640722,-79.391051,11
7055,Jarvis St / Carlton St,43.66207,-79.37617,15
7056,Parliament St / Gerrard St,43.661149,-79.366648,26
7057,Simcoe St / Wellington St W,43.645533,-79.3854,23
7058,Huron/ Harbord St,43.6637,-79.400053,19
7059,Front St W / Blue Jays Way,43.643473,-79.390477,15
7060,Princess Ave / Adelaide St,43.652123,-79.367139,19
7061,Bloor St / Brunswick Ave,43.665876,-79.407224,25
7062,University Ave / College St,43.659226,-79.390213,11
7063,Queens Park / Bloor St W,43.668327,-79.39355,18
7064,51 Parliament St,43.65205,-79.362198,19
7065,Dundas St / Parliament St,43.659575,-79.365769,15
7066,Willcocks St / St. George St,43.662237,-79.397716,16
7067,Yonge St. / Lakeshore Ave. E.,43.643795,-79.375413,36
7068,Dockside Dr / Queens Quay E.,43.644272,-79.367766,27
7069,Queen St W / Spadina Ave,43.649147,-79.395504,11
7070,25 York St (ACC/Union Station South),43.643667,-79.380414,11
7071,Bathurst / Queens Quay (Island Airport),43.6354,-79.3984,23
7072,Queen St W / Shaw St,43.644524,-79.416519,15
7073,Bremner / Spadina,43.640903,-79.392895,15
7074,Spadina Ave / Sussex Ave,43.664137,-79.402496,27
7075,Queens Quay W / Dan Leckie Way,43.636533,-79.395854,26
7076,York St / Queens Quay W,43.640132,-79.380464,19
7077,College Park South,43.659777,-79.382767,19
7078,College St / Major St,43.6576,-79.4032,11
7079,Gerrard St E / Church St,43.659778,-79.37978,15
7081,Dundas St/ Broadview St,43.662258,-79.352596,2
